date,zone,site,plot,pit,spp,sex,rcap,toe_num,SV_length,total_length,weight,tail,pc
8/22/89,M,RABB,A,3,UTST,J,N,304,25,70,1,W,0
8/22/89,M,RABB,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
8/22/89,M,WELL,B,2,UTST,J,N,300,26,72,1,W,1
8/22/89,M,WELL,B,9,UTST,J,N,301,27,78,1,W,0
8/22/89,M,WELL,B,15,UTST,J,N,302,27,58,1,B,0
8/22/89,M,WELL,B,15,UTST,M,N,303,50,134,7,W,0
8/22/89,M,WELL,B,16,CNTI,F,N,353,87,270,22,W,0
8/22/89,T,EAST,B,3,CNTI,M,R,2051,80,250,25,W,1
8/22/89,T,WEST,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
8/25/89,C,CALI,A,2,UTST,F,N,305,33,90,3,W,0
8/25/89,C,GRAV,D,7,CNTI,F,N,354,86,260,17,W,0
8/25/89,C,GRAV,D,15,CNIN,F,N,5,60,206,8,W,0
8/25/89,C,SAND,B,7,UTST,M,R,235,38,105,3,B,0
8/25/89,C,SAND,B,12,UTST,F,N,310,30,72,2,W,0
8/25/89,C,SAND,B,16,UTST,F,N,311,29,70,2,W,0
8/25/89,C,SAND,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
8/25/89,G,BASN,B,1,UTST,F,N,312,35,94,3,W,0
8/25/89,G,BASN,B,14,HOMA,F,N,2,60,125,8,W,0
8/25/89,G,IBPE,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
8/25/89,G,IBPE,C,14,UTST,F,N,313,31,85,2,W,0
8/25/89,M,RABB,A,7,UTST,M,N,320,37,96,4,W,0
8/25/89,M,RABB,A,9,UTST,M,N,321,54,130,7,W,0
8/25/89,M,RABB,A,13,UTST,F,R,222,45,115,5,W,0
8/25/89,M,RABB,C,4,UTST,F,N,315,29,80,2,W,0
8/25/89,M,WELL,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
8/25/89,M,WELL,B,14,UTST,F,N,314,30,85,2,W,0
8/25/89,T,EAST,B,4,UTST,F,N,322,34,86,3,W,0
8/25/89,T,WEST,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
9/1/89,C,CALI,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
9/1/89,C,GRAV,D,2,UTST,J,NA,NA,NA,NA,NA,NA,1
9/1/89,C,GRAV,D,8,UTST,J,N,323,27,76,1,W,0
9/1/89,C,SAND,B,16,UTST,J,N,330,30,86,2,W,0
9/1/89,C,SAND,C,8,UTST,F,N,324,34,95,2,W,0
9/1/89,C,SAND,C,16,UTST,M,N,325,44,113,4,W,1
9/1/89,G,BASN,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
9/1/89,G,IBPE,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
9/1/89,G,IBPE,C,5,UTST,J,N,331,37,104,4,W,1
9/1/89,M,RABB,A,5,CNTI,F,N,355,81,255,19,W,0
9/1/89,M,RABB,A,9,UTST,F,N,340,31,80,2,W,0
9/1/89,M,RABB,C,5,UTST,F,N,335,31,81,2,W,0
9/1/89,M,RABB,C,7,UTST,F,N,334,31,85,2,W,0
9/1/89,M,WELL,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
9/1/89,M,WEST,B,7,UTST,J,N,332,30,81,2,W,1
9/1/89,M,WEST,B,10,UTST,J,N,333,37,96,4,W,0
9/1/89,M,WEST,B,16,UTST,J,N,NA,19,51,1,W,0
9/1/89,T,EAST,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
9/1/89,T,WEST,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
9/1/89,T,WEST,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
9/27/89,C,CALI,A,1,UTST,F,R,305,38,109,2,W,0
9/27/89,C,CALI,A,15,SCMA,J,N,2,45,106,4,W,0
9/27/89,C,GRAV,D,4,UTST,M,N,500,42,123,4,W,0
9/27/89,C,GRAV,D,9,UTST,F,N,455,39,96,3,W,0
9/27/89,C,GRAV,D,12,UTST,F,N,454,41,110,4,W,0
9/27/89,C,GRAV,D,16,UTST,M,N,453,46,130,5,W,0
9/27/89,C,SAND,B,5,UTST,M,N,424,42,115,3,W,0
9/27/89,C,SAND,C,2,UTST,F,N,425,36,98,2,W,0
9/27/89,C,SAND,C,3,UTST,F,N,430,38,100,2,B,0
9/27/89,C,SAND,C,10,UTST,M,R,452,40,110,3,W,0
9/27/89,C,SAND,C,16,UTST,F,N,431,35,94,2,W,0
9/27/89,C,SAND,C,16,UTST,F,R,330,36,101,3,W,0
9/27/89,G,BASN,B,1,UTST,F,N,423,36,103,3,W,0
9/27/89,G,BASN,B,1,UTST,J,N,NA,23,43,1,W,0
9/27/89,G,IBPE,A,2,UTST,F,N,414,34,83,2,W,0
9/27/89,G,IBPE,C,1,UTST,J,N,NA,22,45,NA,NA,1
9/27/89,G,IBPE,C,6,UTST,F,N,422,36,100,3,W,0
9/27/89,G,IBPE,C,10,UTST,M,N,421,39,55,3,B,0
9/27/89,G,IBPE,C,13,UTST,F,N,415,36,104,3,W,0
9/27/89,G,IBPE,C,13,UTST,F,N,420,40,87,4,B,0
9/27/89,M,RABB,A,2,UTST,F,N,400,35,92,2,W,0
9/27/89,M,RABB,A,5,UTST,F,N,401,33,82,2,W,0
9/27/89,M,RABB,A,7,UTST,M,R,320,43,115,5,W,0
9/27/89,M,RABB,A,9,UTST,F,N,402,37,98,3,W,0
9/27/89,M,RABB,A,15,UTST,M,N,403,41,113,4,W,0
